owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,performed_via_github_app,rename_from,rename_to,lock_reason,label_name,label_color,milestone,review_requester_id,requested_reviewer_id,assignee_id,assigner_id,events_url,commit_url
mdo,code-guide,29236369,101136142,MDE1OlJlZmVyZW5jZWRFdmVudDEwMTEzNjE0Mg==,https://api.github.com/repos/mdo/code-guide/issues/events/101136142,98681,referenced,87094e9dab45677f0d93b19873d6529ed1e458d2,2014-03-12T05:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/60/events,https://api.github.com/repos/mdo/code-guide/commits/87094e9dab45677f0d93b19873d6529ed1e458d2
mdo,code-guide,29236369,101136143,MDExOk1lcmdlZEV2ZW50MTAxMTM2MTQz,https://api.github.com/repos/mdo/code-guide/issues/events/101136143,98681,merged,87094e9dab45677f0d93b19873d6529ed1e458d2,2014-03-12T05:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/60/events,https://api.github.com/repos/mdo/code-guide/commits/87094e9dab45677f0d93b19873d6529ed1e458d2
mdo,code-guide,29236369,101136144,MDExOkNsb3NlZEV2ZW50MTAxMTM2MTQ0,https://api.github.com/repos/mdo/code-guide/issues/events/101136144,98681,closed,NA,2014-03-12T05:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/60/events,NA
mdo,code-guide,29236369,109249664,MDIwOkhlYWRSZWZSZXN0b3JlZEV2ZW50MTA5MjQ5NjY0,https://api.github.com/repos/mdo/code-guide/issues/events/109249664,716935,head_ref_restored,NA,2014-04-07T12:22:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/60/events,NA
mdo,code-guide,29236369,109249736,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxMDkyNDk3MzY=,https://api.github.com/repos/mdo/code-guide/issues/events/109249736,716935,head_ref_deleted,NA,2014-04-07T12:22:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/60/events,NA
mdo,code-guide,29234374,104534761,MDExOkNsb3NlZEV2ZW50MTA0NTM0NzYx,https://api.github.com/repos/mdo/code-guide/issues/events/104534761,98681,closed,ea3770d2dc98769943e0955225eaf42c0e545f74,2014-03-22T22:41:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/59/events,https://api.github.com/repos/mdo/code-guide/commits/ea3770d2dc98769943e0955225eaf42c0e545f74
mdo,code-guide,29221189,104534239,MDExOkNsb3NlZEV2ZW50MTA0NTM0MjM5,https://api.github.com/repos/mdo/code-guide/issues/events/104534239,98681,closed,NA,2014-03-22T22:34:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/58/events,NA
mdo,code-guide,29206831,101029928,MDE1OlJlZmVyZW5jZWRFdmVudDEwMTAyOTkyOA==,https://api.github.com/repos/mdo/code-guide/issues/events/101029928,98681,referenced,a07c05f4bb309f8c76888275d65a26700f4d90f1,2014-03-11T20:22:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/57/events,https://api.github.com/repos/mdo/code-guide/commits/a07c05f4bb309f8c76888275d65a26700f4d90f1
mdo,code-guide,29206831,101029929,MDExOk1lcmdlZEV2ZW50MTAxMDI5OTI5,https://api.github.com/repos/mdo/code-guide/issues/events/101029929,98681,merged,a07c05f4bb309f8c76888275d65a26700f4d90f1,2014-03-11T20:22:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/57/events,https://api.github.com/repos/mdo/code-guide/commits/a07c05f4bb309f8c76888275d65a26700f4d90f1
mdo,code-guide,29206831,101029930,MDExOkNsb3NlZEV2ZW50MTAxMDI5OTMw,https://api.github.com/repos/mdo/code-guide/issues/events/101029930,98681,closed,NA,2014-03-11T20:22:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/57/events,NA
mdo,code-guide,29206831,101031073,MDE0Ok1lbnRpb25lZEV2ZW50MTAxMDMxMDcz,https://api.github.com/repos/mdo/code-guide/issues/events/101031073,5153378,mentioned,NA,2014-03-11T20:25:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/57/events,NA
mdo,code-guide,29206831,101031074,MDE1OlN1YnNjcmliZWRFdmVudDEwMTAzMTA3NA==,https://api.github.com/repos/mdo/code-guide/issues/events/101031074,5153378,subscribed,NA,2014-03-11T20:25:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/57/events,NA
mdo,code-guide,29042752,100258583,MDExOkNsb3NlZEV2ZW50MTAwMjU4NTgz,https://api.github.com/repos/mdo/code-guide/issues/events/100258583,6072828,closed,NA,2014-03-09T13:03:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/56/events,NA
mdo,code-guide,28963013,100109919,MDExOkNsb3NlZEV2ZW50MTAwMTA5OTE5,https://api.github.com/repos/mdo/code-guide/issues/events/100109919,98681,closed,NA,2014-03-07T23:16:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/55/events,NA
mdo,code-guide,28963013,100425407,MDE0Ok1lbnRpb25lZEV2ZW50MTAwNDI1NDA3,https://api.github.com/repos/mdo/code-guide/issues/events/100425407,98681,mentioned,NA,2014-03-10T11:04:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/55/events,NA
mdo,code-guide,28963013,100425408,MDE1OlN1YnNjcmliZWRFdmVudDEwMDQyNTQwOA==,https://api.github.com/repos/mdo/code-guide/issues/events/100425408,98681,subscribed,NA,2014-03-10T11:04:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/55/events,NA
mdo,code-guide,28935542,99777120,MDE1OlJlZmVyZW5jZWRFdmVudDk5Nzc3MTIw,https://api.github.com/repos/mdo/code-guide/issues/events/99777120,98681,referenced,7f707805c48149aa9b085dcba79b24ff4c23b866,2014-03-07T03:32:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/54/events,https://api.github.com/repos/mdo/code-guide/commits/7f707805c48149aa9b085dcba79b24ff4c23b866
mdo,code-guide,28935542,99777123,MDExOk1lcmdlZEV2ZW50OTk3NzcxMjM=,https://api.github.com/repos/mdo/code-guide/issues/events/99777123,98681,merged,7f707805c48149aa9b085dcba79b24ff4c23b866,2014-03-07T03:32:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/54/events,https://api.github.com/repos/mdo/code-guide/commits/7f707805c48149aa9b085dcba79b24ff4c23b866
mdo,code-guide,28935542,99777125,MDExOkNsb3NlZEV2ZW50OTk3NzcxMjU=,https://api.github.com/repos/mdo/code-guide/issues/events/99777125,98681,closed,NA,2014-03-07T03:32:50Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/54/events,NA
mdo,code-guide,28877476,99690664,MDExOkNsb3NlZEV2ZW50OTk2OTA2NjQ=,https://api.github.com/repos/mdo/code-guide/issues/events/99690664,98681,closed,9062838d33c174bb8f54f0bc2cf08e1695b74951,2014-03-06T21:36:48Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/53/events,https://api.github.com/repos/mdo/code-guide/commits/9062838d33c174bb8f54f0bc2cf08e1695b74951
mdo,code-guide,28877476,99721680,MDE1OlJlZmVyZW5jZWRFdmVudDk5NzIxNjgw,https://api.github.com/repos/mdo/code-guide/issues/events/99721680,1918210,referenced,3f6721360b4aaa08b0b595ff015adf3a1694dcd1,2014-03-06T23:02:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/53/events,https://api.github.com/repos/diegoeis/code-guide/commits/3f6721360b4aaa08b0b595ff015adf3a1694dcd1
mdo,code-guide,28876000,99691666,MDE0Ok1lbnRpb25lZEV2ZW50OTk2OTE2NjY=,https://api.github.com/repos/mdo/code-guide/issues/events/99691666,6072828,mentioned,NA,2014-03-06T21:39:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/52/events,NA
mdo,code-guide,28876000,99691667,MDE1OlN1YnNjcmliZWRFdmVudDk5NjkxNjY3,https://api.github.com/repos/mdo/code-guide/issues/events/99691667,6072828,subscribed,NA,2014-03-06T21:39:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/52/events,NA
mdo,code-guide,28876000,99691668,MDExOkNsb3NlZEV2ZW50OTk2OTE2Njg=,https://api.github.com/repos/mdo/code-guide/issues/events/99691668,98681,closed,NA,2014-03-06T21:39:20Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/52/events,NA
mdo,code-guide,28876000,99900661,MDE0Ok1lbnRpb25lZEV2ZW50OTk5MDA2NjE=,https://api.github.com/repos/mdo/code-guide/issues/events/99900661,98681,mentioned,NA,2014-03-07T12:35:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/52/events,NA
mdo,code-guide,28876000,99900662,MDE1OlN1YnNjcmliZWRFdmVudDk5OTAwNjYy,https://api.github.com/repos/mdo/code-guide/issues/events/99900662,98681,subscribed,NA,2014-03-07T12:35:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/52/events,NA
mdo,code-guide,28875791,99691795,MDExOkNsb3NlZEV2ZW50OTk2OTE3OTU=,https://api.github.com/repos/mdo/code-guide/issues/events/99691795,98681,closed,NA,2014-03-06T21:39:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/51/events,NA
mdo,code-guide,28832757,99316453,MDE1OlJlZmVyZW5jZWRFdmVudDk5MzE2NDUz,https://api.github.com/repos/mdo/code-guide/issues/events/99316453,98681,referenced,9e8f17673e3fc654df39c37611fbc7fe1fb4e507,2014-03-05T23:43:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/50/events,https://api.github.com/repos/mdo/code-guide/commits/9e8f17673e3fc654df39c37611fbc7fe1fb4e507
mdo,code-guide,28832757,99316454,MDExOk1lcmdlZEV2ZW50OTkzMTY0NTQ=,https://api.github.com/repos/mdo/code-guide/issues/events/99316454,98681,merged,9e8f17673e3fc654df39c37611fbc7fe1fb4e507,2014-03-05T23:43:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/50/events,https://api.github.com/repos/mdo/code-guide/commits/9e8f17673e3fc654df39c37611fbc7fe1fb4e507
mdo,code-guide,28832757,99316456,MDExOkNsb3NlZEV2ZW50OTkzMTY0NTY=,https://api.github.com/repos/mdo/code-guide/issues/events/99316456,98681,closed,NA,2014-03-05T23:43:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/50/events,NA
mdo,code-guide,28832757,99582341,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ5OTU4MjM0MQ==,https://api.github.com/repos/mdo/code-guide/issues/events/99582341,447522,head_ref_deleted,NA,2014-03-06T16:55:48Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/50/events,NA
mdo,code-guide,28829581,99316356,MDE1OlJlZmVyZW5jZWRFdmVudDk5MzE2MzU2,https://api.github.com/repos/mdo/code-guide/issues/events/99316356,98681,referenced,64b38849c8dfec2f91dbc50dac46c7b41d2fd997,2014-03-05T23:43:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/49/events,https://api.github.com/repos/mdo/code-guide/commits/64b38849c8dfec2f91dbc50dac46c7b41d2fd997
mdo,code-guide,28829581,99316357,MDExOk1lcmdlZEV2ZW50OTkzMTYzNTc=,https://api.github.com/repos/mdo/code-guide/issues/events/99316357,98681,merged,64b38849c8dfec2f91dbc50dac46c7b41d2fd997,2014-03-05T23:43:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/mdo/code-guide/issues/49/events,https://api.github.com/repos/mdo/code-guide/commits/64b38849c8dfec2f91dbc50dac46c7b41d2fd997
