owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,label_name,label_color,performed_via_github_app,assignee_id,assigner_id,rename_from,rename_to,review_requester_id,requested_reviewer_id,milestone,events_url,commit_url
eljog,agileboard-ui,695384035,4424987828,MDExOkNsb3NlZEV2ZW50NDQyNDk4NzgyOA==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424987828,15967687,closed,NA,2021-03-09T03:31:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/49/events,NA
eljog,agileboard-ui,693512680,3731193753,MDEyOkxhYmVsZWRFdmVudDM3MzExOTM3NTM=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3731193753,49699333,labeled,NA,2020-09-04T19:12:21Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/48/events,NA
eljog,agileboard-ui,693512680,4424986181,MDExOkNsb3NlZEV2ZW50NDQyNDk4NjE4MQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424986181,15967687,closed,NA,2021-03-09T03:31:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/48/events,NA
eljog,agileboard-ui,693512680,4424986935,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTg2OTM1,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424986935,49699333,head_ref_deleted,NA,2021-03-09T03:31:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/48/events,NA
eljog,agileboard-ui,668747636,3603944081,MDEyOkxhYmVsZWRFdmVudDM2MDM5NDQwODE=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3603944081,49699333,labeled,NA,2020-07-30T13:49:28Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/47/events,NA
eljog,agileboard-ui,668747636,4424726087,MDExOkNsb3NlZEV2ZW50NDQyNDcyNjA4Nw==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424726087,49699333,closed,NA,2021-03-09T02:17:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/47/events,NA
eljog,agileboard-ui,668747636,4424726146,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0NzI2MTQ2,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424726146,49699333,head_ref_deleted,NA,2021-03-09T02:17:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/47/events,NA
eljog,agileboard-ui,632511242,3414853706,MDEyOkxhYmVsZWRFdmVudDM0MTQ4NTM3MDY=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/3414853706,49699333,labeled,NA,2020-06-06T14:52:08Z,dependencies,0366d6,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/46/events,NA
eljog,agileboard-ui,632511242,4424985565,MDExOkNsb3NlZEV2ZW50NDQyNDk4NTU2NQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424985565,15967687,closed,NA,2021-03-09T03:31:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/46/events,NA
eljog,agileboard-ui,632511242,4424986134,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQ0NDI0OTg2MTM0,https://api.github.com/repos/eljog/agileboard-ui/issues/events/4424986134,49699333,head_ref_deleted,NA,2021-03-09T03:31:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/46/events,NA
