"Michigan State University
Office of the Registrar",,,,,,,,,,,,,,
Students by Major - Graduate,,,,,,,,,,,,,,
FALL 2005,,,,,,,,,,,,,,
,,,Total Students,,,,Masters,,,,Doctoral,,,
,,,Total,Women,Men,,Total,Women,Men,,Total,Women,Men,
Agriculture and Natural Resources,,,,,,,,,,,,,,
Business,,,,,,,,,,,,,,
  Accounting,1054,PHD,15,3,12,,0,0,0,,15,3,12,
  Business Administration,1087,MBA,90,18,72,,90,18,72,,0,0,0,
  Economics,1102,PHD,16,5,11,,0,0,0,,16,5,11,
  Finance,1139,PHD,12,3,9,,0,0,0,,12,3,9,
  Marketing,1235,PHD,17,6,11,,0,0,0,,17,6,11,
  Integrative Management,1310,MBA,212,59,153,,212,59,153,,0,0,0,
  Foodservice Management,1316,MS,7,3,4,,7,3,4,,0,0,0,
  Logistics,1331,PHD,4,0,4,,0,0,0,,4,0,4,
  Operations and Sourcing Mgt,1350,PHD,13,2,11,,0,0,0,,13,2,11,
  Strategic Management,6007,PHD,4,1,3,,0,0,0,,4,1,3,
  Org Behav-Human Resource Mgt,6008,PHD,12,2,10,,0,0,0,,12,2,10,
  Logistics,6010,MS,14,5,9,,14,5,9,,0,0,0,
  Business Administration,6011,MBA,178,60,118,,178,60,118,,0,0,0,
  Manufacturing and Innovation,6014,MS,4,1,3,,4,1,3,,0,0,0,
  Manufacturing&Engineering Mgt,6015,MS,3,0,3,,3,0,3,,0,0,0,
  Finance,6016,MS,19,3,16,,19,3,16,,0,0,0,
  Hospitality Business,6017,MS,11,7,4,,11,7,4,,0,0,0,
  Accounting,6019,MS,162,81,81,,162,81,81,,0,0,0,
  Logistics,6020,MS,6,2,4,,6,2,4,,0,0,0,
  Manufacturing and Innovation,6021,MS,8,2,6,,8,2,6,,0,0,0,
  Business Information Systems,6024,PHD,3,0,3,,0,0,0,,3,0,3,
  Business Total,,,810,263,547,,714,241,473,,96,22,74,
Communication Arts and Sciences,,,,,,,,,,,,,,
  Advertising,1352,MA,34,27,7,,34,27,7,,0,0,0,
  Public Relations,1357,MA,15,12,3,,15,12,3,,0,0,0,
  Audiology and Speech Sciences,1360,MA,48,48,0,,48,48,0,,0,0,0,
  Audiology and Speech Sciences,1361,PHD,5,4,1,,0,0,0,,5,4,1,
  Audiology & Speech Sci-Urb Std,1367,PHD,1,1,0,,0,0,0,,1,1,0,
  Comm Arts & Sci-Mass Media,1372,PHD,43,20,23,,0,0,0,,43,20,23,
  Communication,1376,MA,43,31,12,,43,31,12,,0,0,0,
  Communication,1377,PHD,25,16,9,,0,0,0,,25,16,9,
  Journalism,1404,MA,28,22,6,,28,22,6,,0,0,0,
  Health Communication,1434,MA,10,8,2,,10,8,2,,0,0,0,
"  Telecomm, Info Studies & Media",1438,MA,47,15,32,,47,15,32,,0,0,0,
  Retailing,1446,MS,12,11,1,,12,11,1,,0,0,0,
  Comm Arts&Sci-Media&Info Stdys,1447,PHD,8,4,4,,0,0,0,,8,4,4,
  Communication Arts and Sciences Total,,,319,219,100,,237,174,63,,82,45,37,
Education,,,,,,,,,,,,,,
  Curric Teaching & Ed Policy,1508,PHD,137,97,40,,0,0,0,,137,97,40,
  K-12 Ed Administration,1638,EDS,9,5,4,,0,0,0,,9,5,4,
  K-12 Ed Administration,1644,MA,131,71,60,,131,71,60,,0,0,0,
  K-12 Ed Administration,1646,PHD,53,30,23,,0,0,0,,53,30,23,
  Counseling,1703,MA,42,31,11,,42,31,11,,0,0,0,
  Educational Psychology,1717,PHD,4,4,0,,0,0,0,,4,4,0,
  Special Education,1726,MA,46,40,6,,46,40,6,,0,0,0,
  Special Education,1727,PHD,19,16,3,,0,0,0,,19,16,3,
  School Psychology,1742,EDS,13,11,2,,0,0,0,,13,11,2,
  Rehabilitation Counseling,1752,MA,23,15,8,,23,15,8,,0,0,0,
  Curric Teaching & Ed Policy,1815,EDS,6,4,2,,0,0,0,,6,4,2,
  Curriculum and Teaching,2166,MA,180,152,28,,180,152,28,,0,0,0,
"  Higher, Adult, & Lifelong Educ",2245,PHD,87,56,31,,0,0,0,,87,56,31,
  Student Affairs Administration,2246,MA,42,24,18,,42,24,18,,0,0,0,
  Literacy Instruction,2247,MA,46,44,2,,46,44,2,,0,0,0,
  Measurement& Quantitative Meth,2251,PHD,35,23,12,,0,0,0,,35,23,12,
  Counseling Psychology,2274,PHD,9,4,5,,0,0,0,,9,4,5,
  School Psychology,2275,PHD,26,23,3,,0,0,0,,26,23,3,
  Measurement&Quantitative Meth,2277,MA,1,0,1,,1,0,1,,0,0,0,
  Rehabilitation Counselor Educ,2279,PHD,17,11,6,,0,0,0,,17,11,6,
  Kinesiology,2283,MS,50,25,25,,50,25,25,,0,0,0,
  Kinesiology,2284,PHD,41,21,20,,0,0,0,,41,21,20,
"  Higher, Adult, & Lifelong Educ",2288,MA,21,15,6,,21,15,6,,0,0,0,
  Educational Policy,2293,PHD,19,12,7,,0,0,0,,19,12,7,
  Education,2294,MA,128,103,25,,128,103,25,,0,0,0,
"  Learning, Technology & Culture",2295,PHD,50,25,25,,0,0,0,,50,25,25,
  Educational Technology,2299,MA,28,18,10,,28,18,10,,0,0,0,
  Education Total,,,"1,263",880,383,,738,538,200,,525,342,183,
Engineering,,,,,,,,,,,,,,
  Chemical Engineering,2303,MS,2,1,1,,2,1,1,,0,0,0,
  Chemical Engineering,2304,PHD,55,16,39,,0,0,0,,55,16,39,
  Civil Engineering,2311,MS,24,5,19,,24,5,19,,0,0,0,
  Civil Engineering,2312,PHD,25,6,19,,0,0,0,,25,6,19,
  Environmental Engineering,2324,MS,11,6,5,,11,6,5,,0,0,0,
  Environmental Engineering,2326,PHD,16,4,12,,0,0,0,,16,4,12,
  Computer Science,2335,MS,25,4,21,,25,4,21,,0,0,0,
  Computer Science,2336,PHD,84,14,70,,0,0,0,,84,14,70,
  Electrical Engineering,2348,MS,55,12,43,,55,12,43,,0,0,0,
  Electrical Engineering,2349,PHD,111,12,99,,0,0,0,,111,12,99,
  Mechanical Engineering,2401,MS,45,9,36,,45,9,36,,0,0,0,
  Mechanical Engineering,2402,PHD,57,9,48,,0,0,0,,57,9,48,
  Engineering Mechanics,2494,MS,1,0,1,,1,0,1,,0,0,0,
  Engineering Mechanics,2495,PHD,5,1,4,,0,0,0,,5,1,4,
  Materials Sci and Engineering,8001,MS,3,1,2,,3,1,2,,0,0,0,
  Materials Sci and Engineering,8002,PHD,24,7,17,,0,0,0,,24,7,17,
  Engineering Total,,,543,107,436,,166,38,128,,377,69,308,
Human Ecology,,,,,,,,,,,,,,
  Child Development,2505,MA,21,21,0,,21,21,0,,0,0,0,
  Community Services,2510,MS,6,6,0,,6,6,0,,0,0,0,
  Family Studies,2523,MA,23,20,3,,23,20,3,,0,0,0,
  Marriage & Family Therapy,2525,MA,11,8,3,,11,8,3,,0,0,0,
  Human Nutrition,2625,MS,8,7,1,,8,7,1,,0,0,0,
  Human Nutrition,2626,PHD,7,5,2,,0,0,0,,7,5,2,
  Human Environment:Design & Mgt,2678,PHD,14,11,3,,0,0,0,,14,11,3,
  Apparel and Textiles,2693,MA,1,1,0,,1,1,0,,0,0,0,
  Family and Child Ecology,2695,PHD,51,44,7,,0,0,0,,51,44,7,
  Youth Development,2720,MA,23,21,2,,23,21,2,,0,0,0,
  Human Ecology Total,,,165,144,21,,93,84,9,,72,60,12,
Human Medicine,,,,,,,,,,,,,,
  Pharmacology and Toxicology,2794,PHD,9,6,3,,0,0,0,,9,6,3,
  Physiology,2805,PHD,2,2,0,,0,0,0,,2,2,0,
  Biochemistry & Molecular Biol,2829,PHD,9,4,5,,0,0,0,,9,4,5,
  Microbiol & Molecular Genetics,2830,PHD,3,2,1,,0,0,0,,3,2,1,
  Epidemiology,2831,PHD,13,5,8,,0,0,0,,13,5,8,
  Epidemiology,2832,MS,27,21,6,,27,21,6,,0,0,0,
"  Bioethics,Humanities & Society",2834,MA,9,7,2,,9,7,2,,0,0,0,
  Human Medicine Total,,,72,47,25,,36,28,8,,36,19,17,
Natural Science,,,,,,,,,,,,,,
  Chemistry,3573,MS,10,4,6,,10,4,6,,0,0,0,
  Chemistry,3575,PHD,212,98,114,,0,0,0,,212,98,114,
  Entomology,3597,PHD,1,1,0,,0,0,0,,1,1,0,
  Applied Mathematics,3733,MS,2,1,1,,2,1,1,,0,0,0,
  Applied Mathematics,3734,PHD,16,6,10,,0,0,0,,16,6,10,
  Mathematics,3739,MAT,1,1,0,,1,1,0,,0,0,0,
  Mathematics,3740,MS,16,1,15,,16,1,15,,0,0,0,
  Mathematics,3741,PHD,62,15,47,,0,0,0,,62,15,47,
  Mathematics Education,3749,PHD,5,2,3,,0,0,0,,5,2,3,
  Genetics,3788,PHD,42,21,21,,0,0,0,,42,21,21,
  Clinical Laboratory Sciences,3793,MS,7,3,4,,7,3,4,,0,0,0,
