degree,degree_id,degree_level,total,file,term,year,term_numeric,time
College of Agriculture-Animal Science,0291,PHD,22,summer2001.xlsx,summer,2001,1,22
College of Agriculture-Animal Science,0291,PHD,32,fall2001.xlsx,fall,2001,2,23
College of Agriculture-Animal Science,0291,PHD,30,spring2002.xlsx,spring,2002,0,24
College of Agriculture-Animal Science,0291,PHD,27,summer2002.xlsx,summer,2002,1,25
College of Agriculture-Animal Science,0291,PHD,32,fall2002.xlsx,fall,2002,2,26
College of Agriculture-Animal Science,0291,PHD,30,spring2003.xlsx,spring,2003,0,27
College of Agriculture-Animal Science,0291,PHD,28,summer2003.xlsx,summer,2003,1,28
College of Agriculture-Animal Science,0291,PHD,21,fall2003.xlsx,fall,2003,2,29
College of Agriculture-Animal Science,0291,PHD,18,spring2004.xlsx,spring,2004,0,30
College of Agriculture-Animal Science,0291,PHD,24,summer2004.xlsx,summer,2004,1,31
College of Agriculture-Animal Science,0291,PHD,25,fall2004.xlsx,fall,2004,2,32
College of Agriculture-Animal Science,0291,PHD,22,spring2005.xlsx,spring,2005,0,33
College of Agriculture-Animal Science,0291,PHD,17,summer2005.xlsx,summer,2005,1,34
College of Agriculture-Animal Science,0291,PHD,20,fall2005.xlsx,fall,2005,2,35
College of Agriculture-Animal Science,0291,PHD,18,spring2006.xlsx,spring,2006,0,36
College of Agriculture-Animal Science,0291,PHD,16,summer2006.xlsx,summer,2006,1,37
College of Agriculture-Animal Science,0291,PHD,20,fall2006.xlsx,fall,2006,2,38
College of Agriculture-Animal Science,0291,PHD,15,spring2007.xlsx,spring,2007,0,39
College of Agriculture-Animal Science,0291,PHD,13,summer2007.xlsx,summer,2007,1,40
College of Agriculture-Animal Science,0291,PHD,15,fall2007.xlsx,fall,2007,2,41
College of Agriculture-Animal Science,0291,PHD,13,spring2008.xlsx,spring,2008,0,42
College of Agriculture-Animal Science,0291,PHD,11,summer2008.xlsx,summer,2008,1,43
College of Agriculture-Animal Science,0291,PHD,14,fall2008.xlsx,fall,2008,2,44
College of Agriculture-Animal Science,0291,PHD,15,spring2009.xlsx,spring,2009,0,45
College of Agriculture-Animal Science,0291,PHD,13,summer2009.xlsx,summer,2009,1,46
College of Agriculture-Animal Science,0291,PHD,17,fall2009.xlsx,fall,2009,2,47
College of Agriculture-Animal Science,0291,PHD,18,spring2010.xlsx,spring,2010,0,48
College of Agriculture-Animal Science,0291,PHD,14,summer2010.xlsx,summer,2010,1,49
College of Agriculture-Animal Science,0291,PHD,18,fall2010.xlsx,fall,2010,2,50
College of Agriculture-Animal Science,0291,PHD,19,spring2011.xlsx,spring,2011,0,51
College of Agriculture-Animal Science,0291,PHD,15,summer2011.xlsx,summer,2011,1,52
College of Agriculture-Animal Science,0291,PHD,17,fall2011.xlsx,fall,2011,2,53
