issue_id,id
534427007,7581348
534406339,7581348
532532471,7581348
531276085,7581348
531178512,7581348
531106989,7581348
530602103,7581348
530148089,7581348
529693013,7581348
529691340,7581348
196071686,1445228
170377125,1445228
153599857,74739
121935192,37565
18507264,74739
377069770,1305617
349409972,1305617
227382028,1305617
227335991,1305617
223993798,1305617
161283695,1305617
147631120,1305617
132071704,1305617
123070268,1305617
104749062,1153134
205047900,1305617
91490319,1305617
13165011,1305617
512379607,600565
448497157,600565
326276392,600565
318327516,600565
318327516,1369170
229586919,600565
117008397,1693164
1125087473,77071
1072723390,77071
1032827252,49262
1028308593,49262
1025008743,49262
1024145951,49262
988338895,49262
915888624,49262
915585596,49262
911380671,49262
873564584,77071
856000985,49262
850266515,49262
848831815,49262
838744471,49262
832406478,49262
832406478,39638017
827586997,49262
825452643,49262
824095400,49262
823549847,49262
822849429,49262
820865488,49262
820245474,49262
820044589,49262
819668970,49262
819140223,49262
818947164,49262
818381989,49262
818352096,49262
818269111,49262
818079169,49262
817682434,49262
817660867,49262
817416304,49262
817397359,49262
817263383,49262
812757756,49262
802483410,49262
800610807,49262
797714853,49262
784091318,49262
780949328,49262
775679737,49262
775324980,49262
775267788,49262
575935261,20723
152509476,7961707
150856895,7961707
142375574,7961707
51112350,20723
5448476,20723
5448447,20723
4855691,20723
4849503,20723
4507067,20723
13456368,3219544
22219974,1505133
16288088,2287663
13194644,39398
13194167,39398
8750945,2287663
8738357,39398
8716215,39398
8335155,39398
8270262,1505133
8203837,2287663
8175559,39398
8069952,39398
8048964,1505133
8048870,2287663
8048661,1505133
8047616,2287663
8045951,1505133
588851605,1758090
552558822,1758090
544363196,1758090
543922654,1758090
543082114,1758090
514132415,1758090
490117849,1758090
481911475,1758090
480344858,1758090
479155763,1758090
469334730,1758090
464774207,1758090
462489068,1758090
462463645,1758090
462400281,1758090
462357019,1758090
459506089,1758090
250649357,1758090
244362680,1758090
224612792,2813151
713664854,5276065
461354641,5276065
437993642,5276065
437993592,5276065
437993554,5276065
423838590,5276065
423837517,5276065
423837396,5276065
423837116,5276065
423837046,5276065
423836995,5276065
423836911,5276065
423836769,5276065
423836249,5276065
423835375,5276065
423834464,5276065
423834229,5276065
423833893,5276065
423832478,5276065
423831795,5276065
408642719,1979746
403125583,1979746
392913275,1979746
357745247,1979746
336086196,1979746
1059201174,873584
1055625549,873584
1032554459,873584
1021603516,873584
993851689,873584
970205115,873584
963192090,873584
936464508,873584
925717515,873584
925625466,873584
885943215,873584
880901075,873584
880188410,873584
878337827,873584
869615320,873584
860296974,873584
854070432,873584
852994927,873584
809707670,873584
803314588,873584
795592243,873584
790076868,873584
788287009,873584
782607710,873584
777638613,873584
777271887,873584
774895877,873584
773353054,873584
773336782,873584
771326398,873584
754928628,873584
749250563,873584
748670961,873584
743665615,873584
738127214,873584
729623280,873584
727152929,873584
721902146,873584
716517883,873584
706347977,873584
705061979,873584
702625877,873584
699997687,873584
699184076,873584
699078723,873584
687919263,873584
680123541,873584
671591055,873584
667627229,873584
667627229,970828
667603395,873584
665947799,873584
664563336,873584
661840102,873584
655390210,873584
654814044,873584
650278251,873584
642490408,873584
637831467,873584
637450833,873584
630639176,873584
624914900,873584
624873948,873584
620357449,873584
619516713,873584
618087390,873584
613134229,873584
612505285,873584
610566391,873584
605708551,873584
600781587,873584
598451898,873584
598181818,873584
597869552,873584
597667138,873584
595834754,873584
593043447,873584
593038180,873584
589546678,873584
588199318,873584
585681065,873584
579051319,873584
577639506,873584
575527630,873584
575120766,873584
572143025,873584
570388756,873584
569309631,873584
567637426,873584
561493907,873584
558689781,873584
551878481,873584
543312982,873584
543312931,873584
542559049,873584
537548880,873584
537437066,873584
536695354,873584
1111294857,873584
1104283337,873584
1094909001,873584
883301889,970828
863344590,873584
837624093,873584
837511908,873584
748670994,970828
696886665,970828
696620499,873584
696620499,970828
688747441,873584
688747441,970828
684391711,970828
668536668,970828
663421547,873584
663421547,970828
663420723,873584
662414280,873584
658065118,873584
658065118,970828
654071104,873584
653101127,873584
652368283,873584
652368283,970828
651201951,873584
650912245,873584
650684105,873584
647792983,970828
646954285,873584
645603706,873584
645128581,873584
644379074,970828
